id,description,iamges,url
Luftvorhang AIRMASTERS+ 02-51mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1860-medium_default/luftvorhang-airmasters-plus-02-51mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/305-677-luftvorhang-airmasters-plus-02-51mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 03-75mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1862-medium_default/luftvorhang-airmasters-plus-03-75mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/306-680-luftvorhang-airmasters-plus-03-75mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 06-152mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1864-medium_default/luftvorhang-airmasters-plus-06-152mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/307-683-luftvorhang-airmasters-plus-06-152mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 09-229mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1867-medium_default/luftvorhang-airmasters-plus-09-229mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/301-664-luftvorhang-airmasters-plus-09-229mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 12-305mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.",https://www.air-masters.eu/1869-medium_default/luftvorhang-airmasters-plus-12-305mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/302-667-luftvorhang-airmasters-plus-12-305mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 15-381mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1878-medium_default/luftvorhang-airmasters-plus-15-381mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/309-689-luftvorhang-airmasters-plus-15-381mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 18-457mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1876-medium_default/luftvorhang-airmasters-plus-18-457mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/303-670-luftvorhang-airmasters-plus-18-457mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 24-610mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.",https://www.air-masters.eu/1874-medium_default/luftvorhang-airmasters-plus-24-610mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/304-673-luftvorhang-airmasters-plus-24-610mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS 27-700mm,"Der Silent AIRMASTERS Luftvorhang ist leicht zu montieren und zu warten. Durch seinen stark reduzierten Druckluftverbrauch und Geräuschpegel ist er der effizienteste unter den Luftvorhängen und bietet trotzdem optimale Strömungskraft. Der Silent AIRMASTERS Luftvorhang erzeugt über die gesamte Länge einen gleichmäßigen laminaren Luftstrom. Unter Ausnutzung des COANDA-EFFEKTS bildet sich ein schneller, trichterförmiger Luftstrom, der ein großes Volumen an Umgebungsluft mitreißt. Auf diese Weise erhält man mit geringem Drucklufteinsatz einen bis zu 40-fachen Luftstrom. Durch die Luftdruckeinsparung zahlt sich die Mehrausgabe für den AIRMASTERS bei manchen Anwendungen oft schon nach wenigen Wochen aus. Es ist in zwei Versionen erhältlich: eloxiertem Aluminium und Edelstahl. Das harteloxierte Aluminium kann bei einigen Anwendungen die Stahlvariante ersetzen und stellt daher eine kostengünstigere Lösung dar. Für jede Version ist ein Anschlussset für die Verbindung mehrerer Vorhänge verfügbar und garantiert die Einheitlichkeit des Luftstroms. Die internen Abstandsfolien werden ausschließlich aus Edelstahl hergestellt.",https://www.air-masters.eu/2452-medium_default/luftvorhang-airmasters-27-700mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/407-898-luftvorhang-airmasters-27-700mm.html#/27-material-aluminium_beschichtet
Luftvorhang AIRMASTERS+ 30-762mm,"Die Luftvorhänge für Druckluft von Airmasters+ sind für unterschiedlichste Anwendungen entwickelt worden, bei denen eine extreme Blaskraft benötigt wird und garantiert gleichzeitig einen niedrigen Lärmpegel und Energieverbrauch.Hergestellt in Italien mit Hochpräzisionsmaschinen und dem notwendigen Know-how, damit die Luftvorhänge Airmasters+ einen gleichmäßigen Luftstromdurchfluss entlang des gesamten Luftvorhangs. Durch Ausnutzung des Coanda-Effekts, wird ein Großteil des verwendeten Luftvolumens aus der direkten Umgebungsluft mitgereißt. Indem man eine geringe menge an Druckluft hinzufügt, erhält man ein Luftströmung, die dem 50-fachen der eingesetzten Druckluft entspricht. All dies ermöglicht, dass dieser Luftvorhang der einzige ist, der weltweit eine Luftstromverstärkung mit einem Verhältnis von 1:50 generiert. Unser exklusives und patentiertes Design ermöglicht einen Transport der Umgebungsluft, der den bisherigen Luftvorhängen überlegen ist. Die Airmasters+ Luftvorhänge bestehen aus eloxiertem Aluminium für eine lange Lebensdauer. Diese haben eine Abstandsfolie aus Edelstahl und sind einfach zu montieren und warten. Modelle aus Edelstahl können in Prozessen bei hohen Temperaturen oder in korrosiven Umgebungen eingesetzt werden. Die Teile können einfach zusammengefügt werden, um die Gleichmäßigkeit des Flusses zu gewährleisten. Patentiert.",https://www.air-masters.eu/1872-medium_default/luftvorhang-airmasters-plus-30-762mm.jpg,https://www.air-masters.eu/de/luftvorhaenge-airmasters/310-692-luftvorhang-airmasters-plus-30-762mm.html#/27-material-aluminium_beschichtet
